mes_ano,ABRANGENCI,notificacoes
202310,ANCHIETA,23
202310,CAIC,15
202310,CENTRAL,43
202310,CIDADE JARDIM,24
202310,ELDORADO,27
202310,ENGENHEIRO SCHMITT,25
202310,ESTORIL,55
202310,FRATERNIDADE,7
202310,GABRIELA,18
202310,GONZAGA DE CAMPOS,15
202310,JAGUARE,34
202310,JARDIM AMERICANO,20
202310,LEALDADE E AMIZADE,20
202310,LUZ DA ESPERANCA,28
202310,MARIA LUCIA,37
202310,NOVA ESPERANCA,5
202310,PARQUE DA CIDADANIA,6
202310,PARQUE INDUSTRIAL,33
202310,RENASCER,13
202310,RIO PRETO I,18
202310,SANTO ANTONIO,31
202310,SAO DEOCLECIANO,42
202310,SAO FRANCISCO,51
202310,SOLO SAGRADO,31
202310,TALHADO,8
202310,VETORAZZO,45
202310,VILA ELVIRA,24
202310,VILA MAYOR,17
202310,VILA TONINHO,33
